ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-30,190.57988084973914,179.74865455080663,193.66485774016965,190.57988084973914,190.57988084973914,-3.6448824488333935,-3.6448824488333935,-3.6448824488333935,2.8068832176415524,2.8068832176415524,2.8068832176415524,-6.451765666474946,-6.451765666474946,-6.451765666474946,0.0,0.0,0.0,186.93499840090576
2023-12-01,190.8168657230644,180.38124285528957,195.28228473293075,190.8168657230644,190.8168657230644,-3.0873236115483906,-3.0873236115483906,-3.0873236115483906,3.1248987742048553,3.1248987742048553,3.1248987742048553,-6.212222385753246,-6.212222385753246,-6.212222385753246,0.0,0.0,0.0,187.72954211151603
2023-12-04,191.44523892448615,181.6334753823526,196.0359124770203,191.44523892448615,191.44523892448615,-2.457265775063063,-2.457265775063063,-2.457265775063063,3.161506269983368,3.161506269983368,3.161506269983368,-5.618772045046431,-5.618772045046431,-5.618772045046431,0.0,0.0,0.0,188.98797314942308
2023-12-05,191.65469665829337,182.04263088130398,196.54269967882402,191.65469665829337,191.65469665829337,-2.3915348924939317,-2.3915348924939317,-2.3915348924939317,3.0864135288942385,3.0864135288942385,3.0864135288942385,-5.47794842138817,-5.47794842138817,-5.47794842138817,0.0,0.0,0.0,189.26316176579945
2023-12-06,191.86415439210063,182.01237439494503,197.1674196246153,191.86415439210063,191.86415439210063,-2.5211173925618144,-2.5211173925618144,-2.5211173925618144,2.8516868273969407,2.8516868273969407,2.8516868273969407,-5.372804219958755,-5.372804219958755,-5.372804219958755,0.0,0.0,0.0,189.3430369995388
2023-12-07,192.07361212590786,182.23278871150825,196.43559535272996,192.07361212590786,192.07361212590786,-2.5003128321997004,-2.5003128321997004,-2.5003128321997004,2.806883217648864,2.806883217648864,2.806883217648864,-5.307196049848565,-5.307196049848565,-5.307196049848565,0.0,0.0,0.0,189.57329929370815
2023-12-08,192.28306985971508,182.89555861133678,197.30376869461122,192.28306985971508,192.28306985971508,-2.1596644261853064,-2.1596644261853064,-2.1596644261853064,3.124898774197557,3.124898774197557,3.124898774197557,-5.2845632003828635,-5.2845632003828635,-5.2845632003828635,0.0,0.0,0.0,190.12340543352977
2023-12-11,192.91144306113685,183.24709932011982,197.79297664912784,192.91144306113685,192.91144306113685,-2.3396452785647703,-2.3396452785647703,-2.3396452785647703,3.161506269982985,3.161506269982985,3.161506269982985,-5.501151548547756,-5.501151548547756,-5.501151548547756,0.0,0.0,0.0,190.57179778257208
2023-12-12,193.12090079494408,183.06270621515412,197.62248145242867,193.12090079494408,193.12090079494408,-2.5876423737880683,-2.5876423737880683,-2.5876423737880683,3.0864135289077264,3.0864135289077264,3.0864135289077264,-5.674055902695795,-5.674055902695795,-5.674055902695795,0.0,0.0,0.0,190.533258421156
2023-12-13,193.33035852875133,183.65201947819213,197.43613020397703,193.33035852875133,193.33035852875133,-3.0469123183465827,-3.0469123183465827,-3.0469123183465827,2.8516868273968394,2.8516868273968394,2.8516868273968394,-5.898599145743423,-5.898599145743423,-5.898599145743423,0.0,0.0,0.0,190.28344621040475
